Country Name,ISO3,Series Code,CorruptionControlEstimate
"Taiwan, China",TWN,CC.EST,1.20605278
Tajikistan,TJK,CC.EST,-1.338215113
Tanzania,TZA,CC.EST,-0.355093211
Thailand,THA,CC.EST,-0.45705694
Timor-Leste,TLS,CC.EST,-0.052512504
Togo,TGO,CC.EST,-0.668002546
Tonga,TON,CC.EST,-0.384434402
Trinidad and Tobago,TTO,CC.EST,-0.277760476
Tunisia,TUN,CC.EST,-0.229555964
Turkiye,TUR,CC.EST,-0.385957003
Turkmenistan,TKM,CC.EST,-1.41950345
Tuvalu,TUV,CC.EST,0.67436856
Uganda,UGA,CC.EST,-0.998556554
Ukraine,UKR,CC.EST,-0.766656518
United Arab Emirates,ARE,CC.EST,1.178225279
United Kingdom,GBR,CC.EST,1.670565367
United States,USA,CC.EST,1.046862006
Uruguay,URY,CC.EST,1.61529088
Uzbekistan,UZB,CC.EST,-0.808077157
Vanuatu,VUT,CC.EST,-0.017598171
"Venezuela, RB",VEN,CC.EST,-1.60577929
Vietnam,VNM,CC.EST,-0.285784245
Virgin Islands (U.S.),VIR,CC.EST,0.036268443
West Bank and Gaza,PSE,CC.EST,-0.738599837
"Yemen, Rep.",YEM,CC.EST,-1.651690602
Zambia,ZMB,CC.EST,-0.753424048
Zimbabwe,ZWE,CC.EST,-1.257896781
