Country Name,ISO3,CC.EST,GE.EST,RL.EST
Puerto Rico,PRI,0.400498539,-0.264452815,0.600995958
Qatar,QAT,0.806125164,1.113643289,0.927772462
Reunion,REU,0.680942774,0.976894975,0.695353568
Romania,ROU,-0.037915125,-0.129637852,0.407664686
Russian Federation,RUS,-0.900473714,-0.176100716,-0.869817555
Rwanda,RWA,0.599220455,0.26119262,0.201179966
Samoa,WSM,0.625925839,0.443131149,0.891396165
San Marino,SMR,..,..,..
Sao Tome and Principe,STP,0.257983625,-0.734239638,-0.702518404
Saudi Arabia,SAU,0.306925714,0.496305406,0.23015663
Senegal,SEN,0.058420014,0.059229929,-0.36444363
Serbia,SRB,-0.437255442,0.047427159,-0.091587141
Seychelles,SYC,1.633352399,0.941589534,0.341354221
Sierra Leone,SLE,-0.431214958,-1.114508152,-0.818652034
Singapore,SGP,2.171539545,2.291487455,1.857712865
Slovak Republic,SVK,0.235205427,0.529206514,0.705730617
Slovenia,SVN,0.71923095,1.178203225,1.029999971
Solomon Islands,SLB,-0.140978411,-0.91164422,-0.35153684
Somalia,SOM,-1.778052807,-2.054953098,-2.272977591
South Africa,ZAF,0.022103222,-0.017443843,0.130612433
South Sudan,SSD,-1.817446232,-2.382605553,-2.045078039
Spain,ESP,0.741642237,0.947267354,0.875867248
Sri Lanka,LKA,-0.334563583,-0.083028436,0.038458109
St. Kitts and Nevis,KNA,0.438981831,0.417324841,0.496768057
St. Lucia,LCA,0.586345255,-0.09064205,0.631702065
St. Vincent and the Grenadines,VCT,0.803943515,0.307540625,0.607159257
Sudan,SDN,-1.289687276,-1.637499332,-1.210105419
Suriname,SUR,-0.396517456,-0.645067036,-0.102680579
Sweden,SWE,2.130344868,1.652336717,1.733830452
Switzerland,CHE,1.989697456,2.032248974,1.808163881
Syrian Arab Republic,SYR,-1.781922817,-1.739780784,-2.070137501
"Taiwan, China",TWN,1.20605278,1.470059156,1.296202064
Tajikistan,TJK,-1.338215113,-0.591922224,-1.185183287
Tanzania,TZA,-0.355093211,-0.63177985,-0.523068845
Thailand,THA,-0.45705694,0.253084868,0.114909612
Timor-Leste,TLS,-0.052512504,-0.758729935,-0.998198092
Togo,TGO,-0.668002546,-0.647204578,-0.55933398
Tonga,TON,-0.384434402,0.283389032,0.446720064
Trinidad and Tobago,TTO,-0.277760476,0.1926945,-0.136173189
Tunisia,TUN,-0.229555964,-0.167064905,0.095635317
Turkiye,TUR,-0.385957003,-0.086595356,-0.416483223
Turkmenistan,TKM,-1.41950345,-0.928220212,-1.441948295
Tuvalu,TUV,0.67436856,-0.478409946,0.720773041
Uganda,UGA,-0.998556554,-0.570227385,-0.352073669
Ukraine,UKR,-0.766656518,-0.408967376,-0.659907997
United Arab Emirates,ARE,1.178225279,1.39862752,0.830101609
United Kingdom,GBR,1.670565367,1.279481053,1.426642418
